DATE,Total flow per day,BOD inlet,BOD outlet,PH in,PH out,Conductivity in,Conductivity out,MLSS,EB Unit,BioGas Unit
19.01.2020,408,180,10,7.1,7.9,1450,1376,40,722.787,40.55
08.01.2020,1290,180,10,6.8,7.2,1480,1335,60,710.702,411.28
07.01.2020,1352,170,10,7.21,7.9,1450,1375,60,807.239,435.12
06.01.2020,1224,170,10,7.11,7.85,1435,1360,60,787.302,402.47
05.01.2020,1237,220,10,7.4,7.6,1.23,860,60,884.487,246
11.02.2020,1224,220,10,7.11,7.86,1365,1318,60,916.447,336.5
10.02.2020,1117,240,10,6.87,7.86,1386,1363,60,731.592,375.94
08.02.2020,1284,240,10,6.91,7.87,1365,1287,60,717.522,475.5
05.02.2020,1322,240,10,6.81,7.71,1410,1359,60,743.06,370.21
04.02.2020,1295,250,10,7.22,8.24,1356,1317,50,775.097,408.7
03.02.2020,1246,220,10,6.81,7.62,1327,1303,50,821.416,352.1
02.02.2020,1025,200,10,7.15,8.27,1362,1297,80,654.163,449.4
